Year,Extraversion,Number of Texters,Hours of Sleep,Handedness,Sleep Side
Third,7,10,7,Right-handed, left side
Third,6,5,7,Right-handed, left side
Third,7,10,7,Right-handed, back
Third,7,5,6,Right-handed, right side
Third,7,5,6,Right-handed, left side
Third,5,3,9,Right-handed, left side
Third,4,3,7,Right-handed, right side
Third,6,3,7,Right-handed, back
Third,6,6,5,Right-handed, stomach
Third,4,6,8,Right-handed, right side
Third,8,10,7.5,Right-handed, stomach
Third,7,4,8,Right-handed, stomach
Third,8,7,8,Right-handed, back
Third,4,4,8,Right-handed, stomach
Third,7,15,4,Right-handed, left side
Third,6,10,6,Right-handed, left side
Third,9,2,7,Right-handed, left side
Third,3,5,7,Right-handed, left side
Third,4,5,9,Right-handed, left side
Third,6,3,8,Right-handed, stomach
Third,4,5,6.5,Right-handed, stomach
Third,4,3,8,Right-handed, back
Third,5,6,8,Right-handed, back
Third,2,3,6,Right-handed, right side
Third,4,7,8,Right-handed, right side
Third,4,4,7,Right-handed, right side
Third,8,5,8,Right-handed, left side
Third,8,7,7,Right-handed, right side
Third,2,5,6,Right-handed, stomach
Third,7,5,7,Right-handed, stomach
Third,5,4,7,Right-handed, back
Third,3,3,7,Right-handed, back
Third,3,2,7,Right-handed, back
Third,7,6,8,Right-handed, left side
Third,9,8,8,Right-handed, back
Third,3,6,7,Right-handed, stomach
Third,5,8,8,Right-handed, right side
Third,10,12,8,Right-handed, right side
Third,4,5,7,Right-handed, left side
Third,8,4,7,Right-handed, right side
Third,7,8,6,Right-handed, back
Third,4,5,7,Right-handed, right side
Third,3,2,7,Right-handed, left side
Third,3,3,8,Right-handed, left side
Third,7,8,8.5,Right-handed, back
Third,2,1,7,Right-handed, left side
Third,5,2,5,Right-handed, right side
Third,7,10,7,Right-handed, right side
Third,2,3,5,Right-handed, right side
Third,6,10,7,Right-handed, right side
Third,3,4,8,Right-handed, right side
Third,8,4,7,Right-handed, stomach
Third,5,3,7,Right-handed, left side
Third,8,10,6,Right-handed, right side
Third,6,6,7,Right-handed, right side
Third,3,5,7,Right-handed, right side
Third,3,2,6,Right-handed, back
Third,4,8,6,Right-handed, right side
Third,5,5,8,Right-handed, right side
Third,5,5,7,Right-handed, left side
Third,7,15,8,Right-handed, back
Third,6,6,7,Right-handed, right side
Third,10,7,5,Right-handed, stomach
Third,8,12,7,Right-handed, back
Third,3,4,8,Right-handed, right side
Third,8,6,6,Right-handed, right side
Third,7,3,7,Right-handed, right side
Third,7,6,7,Right-handed, back
Third,7,20,10,Right-handed, left side
Third,6,4,4,Right-handed, right side
Third,8,5,7,Right-handed, stomach
Third,7,20,7,Right-handed, right side
Third,6,8,6.5,Right-handed, left side
Third,9,5,7,Right-handed, stomach
Third,5,4,6,Right-handed, right side
Third,8,7,7,Right-handed, back
Third,5,3,8,Right-handed, stomach
Third,8,10,7,Right-handed, right side
Third,3,5,10,Right-handed, right side
Third,5,10,8,Right-handed, right side
Third,8,4,7,Right-handed, left side
Third,4,3,9,Right-handed, stomach
Third,8,10,7,Right-handed, right side
Third,3,2,7,Right-handed, right side
Third,4,3,8,Right-handed, right side
Third,8,5,6,Right-handed, right side
Third,7,10,8,Right-handed, right side
Third,4,12,8,Right-handed, left side
Third,5,4,7,Right-handed, left side
Third,8,10,8,Right-handed, left side
Third,3,2,8,Right-handed, back
Third,7,10,5,Right-handed, left side
Third,7,15,7,Right-handed, stomach
Third,8,9,6,Right-handed, right side
Third,7,7,8,Right-handed, right side
Third,7,7,6,Right-handed, back
Third,6,15,7,Right-handed, back
Third,7,6,6,Right-handed, right side
Third,4,3,8,Right-handed, stomach
Third,5,10,8,Right-handed, right side
Third,4,2,8,Right-handed, left side
Third,4,6,7,Right-handed, right side
Third,5,10,6,Right-handed, left side
Third,7,10,7.5,Right-handed, left side
Third,7,4,8,Right-handed, right side
Third,3,3,6.5,Right-handed, left side
Third,8,11,6,Right-handed, stomach
Third,5,6,7,Right-handed, left side
