NAME,YEAR,THICKNESS_CHG
SPHINX,1972,2342.8571428571427
SPHINX,1978,11438.57142857143
ST VRAIN NO 1,2000,-1110.0
ST VRAIN NORTH,1964,60.0
STEFFEN,2000,-27250.0
STEIN,2007,-52380.0
STELLER,2007,-1600.0
STORBREEN,1951,-6000.0
STORBREEN,1968,-1667.0
STORBREEN,1984,-7111.0
STORBREEN,1997,2278.0
STORGLACIAEREN,1969,-5790.857142857143
STORGLACIAEREN,1980,-2817.878787878788
STORGLACIAEREN,1990,381.3636363636364
STORGLACIAEREN,1999,224.96969696969697
STORGLOMBREEN,1985,-3222.0
STORGLOMBREEN,2002,-333.0
STORSKAVLEN ICE CAP,1989,-4200.0
STORSTEINSFJELLBREEN,1993,-2750.0
STRINDBERG,2000,-22000.0
STUBACHER SONNBLICK KEES,1998,-4118.0
SULZENAU F.,1950,-2700.0
SULZENAU F.,1959,-689.1666666666666
SULZENAU F.,1969,500.0
SULZENAU F.,1979,4112.583333333333
SULZENAU F.,1989,-4158.25
SULZENAU F.,1997,-8291.7
SULZENAU F.,2009,-11268.42857142857
SULZENAUF.STUBE,1989,-3206.6666666666665
SULZENAUF.STUBE,2009,-14056.125
SURETTA MERID.,2002,-611.0
SURETTA MERID.,2003,-3053.0
SURETTA MERID.,2004,-567.0
SURETTA MERID.,2005,-1298.0
SURETTA MERID.,2006,-2707.0
SURETTA MERID.,2007,-2911.0
SURETTA MERID.,2008,-382.0
SURETTA MERID.,2009,-778.0
SURETTA MERID.,2011,-2017.0
SURETTA MERID.,2012,-1538.0
SUSITNA,2000,-27900.0
SVARTAVASSBREEN,1989,5800.0
SVEABREEN,2002,-2280.0
TAELLIBODEN,1946,-8610.0
TAELLIBODEN,1956,-11700.0
TAELLIBODEN,1967,-7050.0
TAKU,1993,32000.0
TAKU,1999,-7740.0
TAKU,2000,21840.0
TANA,2007,-222.0
TANAINA,1996,-30767.0
TANAINA,2001,0.0
TAP,1958,-19067.5
TAP,1987,13880.0
TAZLINA,1994,-25960.0
TAZLINA,1999,-7050.0
TAZLINA,2004,-24895.0
TEMPANO + OCCIDENTAL,1995,-23850.0
TEMPANO + OCCIDENTAL,2000,-43075.0
TEMPESTADES,1999,-9330.0
TOKLAT,1996,-83720.0
TONSINA,2004,-34800.0
TOPKARAGAY,1999,-23300.0
TOPKARAGAY,2012,-7200.0
TOSHAIN RUPAL,1958,-18570.0
TOSHAIN RUPAL,1987,-24354.0
TRIEST GL.,1957,-9600.0
TRIFT (GADMEN),1936,-9670.0
TRIFT (GADMEN),1959,-13490.0
TRIFT (GADMEN),1980,2970.0
TRIFT (GADMEN),1990,-7030.0
TRIFT (GADMEN),1995,-4160.0
TRIFT (GADMEN),2000,-3000.0
TRIFT (GADMEN),2003,-2700.0
TRIUMPH,1996,-19733.0
TRIUMPH,1999,-5130.0
TROLLBERGDALSBREEN,1998,-13670.0
TS.TUYUKSUYSKIY,1991,-1496.111111111111
TS.TUYUKSUYSKIY,1992,-988.8888888888889
TS.TUYUKSUYSKIY,1993,684.5882352941177
TS.TUYUKSUYSKIY,1996,-789.4444444444445
TS.TUYUKSUYSKIY,1997,-2090.5555555555557
TS.TUYUKSUYSKIY,1998,-1677.8947368421052
TS.TUYUKSUYSKIY,1999,-538.8888888888889
TS.TUYUKSUYSKIY,2000,-570.0
TS.TUYUKSUYSKIY,2006,-6597.571428571428
TS.TUYUKSUYSKIY,2007,-1514.142857142857
TS.TUYUKSUYSKIY,2008,-2209.6666666666665
TS.TUYUKSUYSKIY,2009,-17.333333333333332
TS.TUYUKSUYSKIY,2010,-155.16666666666666
TS.TUYUKSUYSKIY,2011,-755.6666666666666
TS.TUYUKSUYSKIY,2012,-1376.1666666666667
TS.TUYUKSUYSKIY,2013,-633.8333333333334
TSINA,2004,-58800.0
TULSEQUAH,2000,-35820.0
TURQUOISE,1996,-43344.0
TURQUOISE,2001,-4600.0
TURTMANN (WEST),2009,-63460.0
TUSTUMENA,1994,-25448.666666666668
TUSTUMENA,2000,-2600.0
TUXEDNI,1996,-34467.0
TUXEDNI,2001,850.0
TUYUK,1999,-21900.0
TUYUK,2012,-5500.0
TWEEDSMUIR,2007,-5533.0
TWIN EAST AND WEST,2000,-7280.0
TYNDALL,1964,290.0
TYNDALL,1987,-3300.0
TYNDALL,1993,-8200.0
TYNDALL,2000,-45000.0
TYNDALL,2004,-13100.0
UCHITEL,1999,-15300.0
UCHITEL,2012,-8200.0
UEBERGOSS.ALM,2002,-9059.0
UNT.GRINDELWALD,1929,-32200.0
UNT.GRINDELWALD,2000,-21500.0
UNT.GRINDELWALD,2004,-2520.0
UNTERAAR,1927,-10030.0
UNTERAAR,1947,-13580.0
UNTERAAR,1961,-11170.0
UNTERAAR,1981,-6080.0
UNTERAAR,1997,-13420.0
UNTERAAR,2003,-5390.0
UPSALA,2000,-23040.0
VALDEZ,2000,-76111.0
VALDEZ,2004,-51200.0
VARIEGATED,1976,-3520.0
VEGAFONNA ICE CAP,2002,-1380.0
VENTORRILLO,1997,-1000.0
VENTORRILLO,1998,-2130.0
VENTORRILLO,1999,-3190.0
VERNAGT FERNER,1912,-3544.36
VERNAGT FERNER,1938,-17246.0
VERNAGT FERNER,1954,-6864.0
VERNAGT FERNER,1969,-21316.904761904763
VERNAGT FERNER,1979,1254.4166666666667
VERNAGT FERNER,1982,-218.1818181818182
VERNAGT FERNER,1990,-4264.0
VERNAGT FERNER,1997,-3059.0
VERNAGT FERNER,1999,-8105.714285714285
VERNAGT FERNER,2003,-1520.0
VERNAGT FERNER,2006,-8008.0
VERNAGT FERNER,2009,-3102.0
VERSTANKLA,1956,-7900.0
VERSTANKLA,1973,-420.0
VESTRE LOVENBREEN,1977,-7000.0
VESTRE LOVENBREEN,1990,-2670.0
VIEDMA,2000,-320.0
WALSH,2007,-5556.0
WANNENHORN GL.,1957,-8400.0
WATZMANNGL.,1970,3000.0
WATZMANNGL.,1980,4487.75
WATZMANNGL.,1989,-3003.25
WAXEGG K.,1950,-16530.0
WAXEGG K.,1959,202.5
WAXEGG K.,1969,1323.3333333333333
WAXEGG K.,1979,7964.384615384615
WAXEGG K.,1989,-1748.6153846153845
WAXEGG K.,2000,-14437.846153846154
WAXEGG K.,2009,-6808.272727272727
WEDEL JARLSBERG LD GLACIERS,1990,-23270.0
WEST GULKANA,1986,-19495.0
WEST GULKANA,1992,-23800.0
WEST GULKANA,1993,-11403.333333333334
WEST NUNATAK,1996,-94400.0
WEST NUNATAK,2007,-1556.0
WEST OKPILAK,1993,-11250.0
WESTERN VATNAJOEKULL ICE CAP,1998,-10300.0
WOLVERINE,1985,-947.3333333333334
WOLVERINE,1994,-23467.0
WOLVERINE,1999,-5150.0
WOLVERINE CRAGE,1995,-23740.0
WOODWORTH,2004,-28200.0
WORTHINGTON,1957,6130.0
WORTHINGTON,1994,7095.0
WORTHINGTON,1999,-4750.0
WORTHMANNS,2000,-26000.0
WORTHMANNS,2004,-21800.0
WURTEN K.,1930,-13340.0
WURTEN K.,1967,-42490.0
WURTEN K.,1979,-6660.0
WURTEN K.,1991,-15850.0
YAHTSE,2007,-6611.0
YAKUTAT EAST,1996,-139200.0
YAKUTAT EAST,2000,-153400.0
YAKUTAT EAST,2007,-6178.0
YAKUTAT WEST,1996,-114667.0
YALA,1994,-8824.0
YALA,1996,-8650.444444444445
YALA,2009,-10400.0
YALA,2012,-10490.0
YALE,2001,-46933.0
ZENBAECHEN GL.,1957,-12900.0
ZONGO,1963,1000.0
ZONGO,1975,4289.0
ZONGO,1983,-3833.0
ZONGO,1997,-9789.0
ZONGO,2000,837.4545454545455
ZONGO,2001,649.375
ZONGO,2002,354.45454545454544
ZONGO,2003,615.0
ZONGO,2004,-71.0
ZONGO,2005,-1158.909090909091
ZONGO,2006,-1712.1538461538462
ZONGO,2007,-323.9166666666667
ZONGO,2008,90.41666666666667
ZONGO,2009,-90.66666666666667
ZONGO,2011,-838.0
ZONGO,2012,-1761.4615384615386
ZONGO,2013,-737.25
ZOYA KOSMODEMYANSKAYA,1998,-12667.0
