NAME,YEAR,AREA
FOURNEAUX,1975,0.04
FOX,1978,34.69
FRADUSTA,1982,0.43
FRANCAIS,1947,85.3
FRANCAIS,1963,95.1
FRANCAIS,1973,92.3
FRANCAIS,1989,90.5
FRANCAIS,1996,106.3
FRANKLIN,1975,131.8
FRANKLIN,1978,0.07
FRANZ JOSEF,1965,32.6
FRANZ JOSEF,1978,32.59
FREBOUZIE,1975,2.39
FREIGER F.,1969,0.59
FREIWAND K.,1969,0.35
FREIWAND K.,1975,0.35
FRESHFIELD,1975,39.81
FRESHFIELD,1978,0.57
FREYA,1987,5.6
FREYNAY,1975,0.655
FRIAS,1975,14.39
FRIAS,1986,48.0
FRIAS,2009,6.54
FRIENDLY,1951,4.43
FRIENDLY,1975,4.43
FROSNITZ K.,1969,2.94
FROSNITZ K.,1975,4.19
FROST,1963,524.4
FROST,1989,556.9
FROST,1997,422.3
FROSTISEN,2001,0.34
FRUSCHNITZ K.,1969,2.87
FURTSCHAGL K.,1969,1.0
FYLES,1964,20.0
FYODOROVICH,1975,3.9
G30,1955,1.29
G30,1997,0.9
G32,1955,1.42
G32,1997,0.7
GAGARIN,1975,5.2
GAISKAR F.,1969,0.75
GAISSBERG F.,1969,1.35
GAISSBERG F.,1975,1.35
GAJAP-YANACARCO,1980,1.2
GAKONA,1950,112.0
GALAMBRA RAMO OR.,1975,0.5
GALERAS,1850,1.0
GALERAS,1948,0.0
GALERIA,1998,7.25
GAMCHI,1973,1.73
GAMCHI,1975,1.73
GARABASHI,1991,4.47
GARIBALDI,1945,68.64
GARIBALDI,2007,67.7
GARMO,1971,114.6
GAULI,1973,13.7
GAULI,1975,13.7
GAVIA (VEDRETTA),1975,0.02
GAY,1975,0.46
GCN01,1998,0.87
GCN02,1998,6.91
GCN03,1998,0.1
GCN04,1998,0.57
GCN05,1998,0.49
GCN06,1998,0.15
GCN07,1998,2.36
GCN08,1998,3.95
GCN09,1998,51.46
GCN10,1998,4.36
GCN11,1998,0.14
GCN12,1998,0.02
GCN13,1998,1.26
GCN14,1998,0.04
GCN15,1998,6.4
GCN16,1998,0.2
GCN17,1998,0.13
GCN18,1998,0.19
GCN19,1998,0.01
GCN20,1998,1.17
GCN21,1998,1.94
GCN22,1998,1.23
GCN23,1998,0.43
GCN24,1998,2.76
GCN25,1998,1.19
GCN26,1998,17.25
GCN27,1998,6.37
GCN28,1998,0.64
GCN29,1998,1.98
GCN30,1998,1.87
GCN31,1998,2.1
GCN32,1998,0.95
GCN33,1998,0.78
GCN34,1998,0.21
GCN35,1998,1.91
GCN36,1998,1.88
GCN37,1998,14.39
GCN38,1998,9.47
GCN39,1998,6.92
GCN40,1998,15.06
GCN41,1998,3.1
GCN42,1998,30.91
GCN43,1998,0.44
GCN44,1998,2.46
GCN45,1998,0.96
GCN46,1998,1.28
GCN47,1998,0.87
GCN48,1998,0.88
GCN49,1998,3.62
GCN50,1998,0.14
GCN51,1998,0.79
GCN52,1998,0.32
GCN53,1998,0.34
GCN54,1998,3.06
GCN55,1998,0.08
GCN56,1998,2.33
GCN57,1998,1.75
GCN58,1998,1.58
GCN59,1998,0.45
GCN60,1998,2.9
GCN61,1998,0.26
GCN62,1998,1.67
GCN63,1998,0.75
GCN64,1998,0.77
GCN65,1998,0.74
GCN66,1998,1.09
GCN67,1998,0.38
GCN68,1998,4.1
GCN69,1998,0.49
GCN70,1998,0.3
GCN71,1998,1.06
GCN72,1998,0.49
GCN73,1998,0.47
GCN74,1998,0.13
GCN75,1998,0.34
GCN76,1998,0.35
GCN77,1998,0.36
GCN78,1998,0.39
GCN79,1998,0.32
GCN80,1998,0.44
GEBROULAZ,1980,2.76
GEDEBUKKEN WEST,2002,3.51
GELAS,1975,0.2
GELTEN,1973,1.17
GEMELLI DI BAN,1975,0.7
GEOGRAPHICHESKOGO OBSHCHESTVA,1974,64.4
GEPATSCH F.,1969,18.16
GEPATSCH F.,1975,17.7
GEPATSCH F.,1997,17.34
GERASIMOV,1975,7.1
GERGETI,1960,8.3
GERGETI,1975,8.3
GIASSON,1975,0.87
GIETRO,1973,5.94
GIETRO,1975,5.94
GIETRO,1985,5.54
GIETRO,1997,5.54
GIETRO,2003,5.54
GIGJOEKULL,1994,7.5
GIOGO ALTO (VEDR. DEL) / HOCHJOCHF.,1975,2.0
GIOGO ALTO (VEDR. DEL) / HOCHJOCHF.,1980,1.63
GL 08,1961,102.64
GL 08,2011,75.15
GL5,2002,10.8
GLACIER 3,1958,0.29
GLACIER NO. 354 (AKSHIYRAK),2011,6.47
GLACIER NO. 354 (AKSHIYRAK),2012,6.43
GLACIER NO. 354 (AKSHIYRAK),2013,6.42
GLACIER TONGUE NO 112 (PETZVAL),2005,46.3
GLACIER TONGUE NO 114 (DAQUERRE),2005,17.2
GLACIER TONGUE NO 201 (NEMO),2005,45.5
GLACIER TONGUE NO 210 (SNOWSHOE),2004,233.9
GLACIER TONGUE NO 220 (W HAVRE MTS),2009,72.2
GLACIER TONGUE NO 93 (LEONARDO),2010,51.3
GLACIER TONGUE NO 98 (ROZIER),2010,21.1
GLACIOLOG,1974,0.3
GLAERNISCH,1973,2.09
GLAERNISCH,1975,2.09
GLENMARY,1978,0.69
GLENO 5661,1975,0.07
GLENO 5662,1975,0.3
GLIAIRETTA VAUDET,1975,3.6
GLJUFURARJOEKULL,1965,3.5
GLJUFURARJOEKULL,1975,3.0
GLJUFURARJOEKULL,1995,3.0
GODLEY,1978,15.85
GOESSNITZ K.,1969,0.86
GOLDBERG K.,1969,1.27
GOLETTA,1975,3.02
GOLUBIN,1950,6.21
GOLUBIN,1964,5.6
GOLUBIN,1975,5.6
GOLUBIN,1985,6.21
GOLUBIN,1992,5.75
GOLUBIN,1999,5.1
GOLUBIN,2013,5.57
GORNER,1973,68.86
GORNER,1975,68.86
GORNER,2003,38.24
GOURDON GLACIER,2001,97.39
GOZHA,1988,33.47
GR. GOSAU G.,1969,1.48
GR. GOSAU G.,1975,1.48
GRAAFJELLSBREA,1975,18.5
GRAAFJELLSBREA,2007,8.41
GRAAFJELLSBREA,2008,8.4
GRAAFJELLSBREA,2013,8.05
GRAASUBREEN,1975,2.52
GRAASUBREEN,1980,3.03
GRAASUBREEN,2008,2.3
GRAASUBREEN,2009,2.12
GRAN NEYRON,1975,1.15
GRAN PARADISO,1975,0.68
GRAN PILASTRO (GHIAC. DEL) / GLIEDERF.,1975,2.5
GRAN PILASTRO (GHIAC. DEL) / GLIEDERF.,1980,2.62
GRAN SOMETTA,1975,0.06
GRAN VAUDALA,1975,0.34
GRAN ZEBRU (CENTRALE),1975,1.02
GRAND CROUX CENTR.,1975,2.0
GRAND DESERT,1973,1.85
GRAND DESERT,1975,1.85
GRAND ETRET,1975,0.75
GRAND PLAN NEVE,1973,0.2
GRAND PLAN NEVE,1975,0.2
GRANDE DEL NEVADO DEL PLOMO,2010,3.41
GRANDE ROCHERE,1975,0.12
GRANDES JORASSES,1975,0.76
GRANDES MURAILLES,1975,7.57
GRAWAWAND FERNER,1975,0.45
GRECHISHKIN,1979,14.2
GREGORIEV,1950,9.4
GREGORY,1975,0.08
GREGORY,1986,0.06
GREGORY,1987,0.05
GREGORY,1990,0.06
GREGORY,1993,0.03
GREGORY,2004,0.01
GREGORY,2011,0.0
GREVE,1976,542.46
GREVE,1986,438.0
GREVE,2009,487.68
GREWINGK,1950,71.73
GREY,1986,269.0
GREY & MAUD,1978,10.87
GRIES,1967,6.57
GRIES,1979,6.33
GRIES,1986,6.24
GRIES,1991,6.19
GRIES,1998,5.65
GRIES,2003,5.26
GRIES,2013,4.83
GRIESKOGL K.,1969,0.36
GRIESKOGL K.,1975,0.36
GRIESS(KLAUSEN),1973,2.48
GRIESS(KLAUSEN),1975,2.48
GRIESSEN(OBWA.),1973,1.27
GRIESSEN(OBWA.),1975,1.27
GRIFFIN,1978,2.1
GRIVOLA,1975,0.48
GRIVOLETTA,1975,0.2
GROSSE,1974,80.0
GROSSELEND K.,1969,2.76
GROSSER ALETSCH,1973,86.76
GROSSER ALETSCH,1975,86.76
GROSSER ALETSCH,1980,87.18
GROSSER ALETSCH,1999,83.01
GRUENAU F.,1969,1.93
GRUENAU F.,1975,1.85
GRUENAU F.,1997,1.72
GRUMANTBREEN,1936,2.85
GRUMANTBREEN,1995,1.94
GRUMANTBREEN,2001,1.56
GUALAS N-TONGUE,1974,166.9
GUALAS S-TONGUE,1974,166.9
GUALI,1987,0.66
GUALI,1992,0.43
GUALLATIRI ICE CAP,1972,8.99
GUALLATIRI ICE CAP,2010,2.62
GUANACO,1955,2.17
GUANACO,1976,2.11
GUANACO,1978,2.0
GUANACO,1996,1.93
GUANACO,2005,1.84
GUANACO,2007,1.83
GUANACO,2010,1.76
GUANACO,2011,1.78
GUANACO,2012,1.67
GUANACO,2013,1.69
GUANACO,2014,1.63
GUARDIAN,1989,0.14
GUARDIAN,1995,0.15
GUARDIAN NE,1995,0.12
GUARDIAN S,1995,0.02
GULIYA,1988,119.33
GULKANA,1954,18.5
GULKANA,1970,19.3
GULKANA,1974,18.36
GULKANA,1975,19.3
GULKANA,1993,18.1
GULKANA,1999,17.04
GULKANA,2012,16.7
GULKANA,2013,16.5
GULKANA,2014,16.4
GUNN,1978,0.77
GURGLER F.,1969,11.14
GURGLER F.,1975,11.14
GUSLAR F.,1889,4.22
GUSLAR F.,1969,2.98
GUSLAR F.,1975,1.76
GUSSFELDT,2005,14.67
GUSSFELDT,2010,12.63
GYAJO,1970,1.08
GYAJO,1975,1.08
HAABERGBREEN,1936,3.5
HAABERGBREEN,1995,2.14
HAABERGBREEN,2001,1.51
HABACH KEES,1975,5.03
HAGAFELLSJOEKULL E,1975,80.0
HAGAFELLSJOEKULL E,1993,105.0
HAGAFELLSJOEKULL W,1939,150.0
HAGAFELLSJOEKULL W,1975,100.0
HAGAFELLSJOEKULL W,2010,150.0
HAILUOGOU,1982,25.71
HAKKEFJELD NORTHEAST 1,2002,6.87
HAKKEFJELD NORTHEAST 2,2002,4.99
HALASI GL.,1980,30.13
HALASIHE NO.18,1980,12.99
HALLSTAETTER G.,1969,3.3
HALLSTAETTER G.,1975,3.3
HALONG GL.,1984,23.49
HALSJOEKULL,1993,0.5
HALVDANS FJORD NORTHEAST,2002,11.9
HAMAGURI YUKI,1975,0.01
HAMAGURI YUKI,1990,0.002
HAMAGURI YUKI,1995,0.003
HAMAGURI YUKI,2000,0.003
HANGE,1958,3.51
HANS TAUSEN ICE CAP,1997,95.0
HANSBREEN,1989,57.0
HANSBREEN,1990,56.74
HANSBREEN,1997,56.76
HANSEBREEN,1968,3.32
HANSEBREEN,1995,3.32
HANSEBREEN,2008,3.1
HANSEBREEN,2010,2.75
HARKER,2003,19.6
HARVARD,1975,437.4
HAVOC,1979,9.46
HEANEY,2003,15.4
HECTOR,1975,2.48
HEIM,1975,0.02
HEIM,1987,0.01
HEIM,1993,0.01
HEIM,2004,0.005
HEIMDALL,1971,7.96
HEIMDALL,1975,7.96
HEINABERGSJOEKULL,2010,85.0
HELGES HALVOE NORTHWEST,2002,1.7
HELGES HALVOE SOUTHWEST,2002,1.57
HELLSTUGUBREEN,1975,3.32
HELLSTUGUBREEN,1980,3.13
HELLSTUGUBREEN,2008,3.0
HELLSTUGUBREEN,2009,2.9
HELM,1975,3.1
HELM,1985,2.5
HENDERSON,1975,0.1
HIDDEN,1981,0.85
HINTEREIS FERNER,1969,9.7
HINTEREIS FERNER,1975,9.01
HINTEREIS FERNER,1995,8.72
HINTEREIS FERNER,1997,8.53
HINTEREIS FERNER,2013,6.65
HISPAR,1939,553.34
HOBBS GLACIER,2001,107.12
HOCHALM K.,1969,3.16
HOCHJOCH F.,1969,7.15
HOCHJOCH F.,1975,7.13
HOCHMOOS F.,1969,1.45
HOCHMOOS F.,1975,1.74
HODGES,2003,0.008
HOEGTUVBREEN,1975,2.6
HOEGTUVBREEN,1977,2.6
HOELLENTAL,1975,0.26
HOELLENTAL,1981,0.29
HOELLENTAL,1994,0.22
HOELLENTAL,1997,0.25
HOELLENTAL,2006,0.24
HOFFELLSJOEKULL W,1975,300.0
HOFFELLSJOEKULL W,1992,200.0
HOFMANNS K.,1969,1.13
HOFSJOEKULL E,1995,250.0
HOFSJOEKULL N,1983,90.6
HOFSJOEKULL N,1995,90.6
HOFSJOEKULL SW,1995,51.0
HOH,1979,4.89
HOHSAND SETT. (SABBIONE SETT.),1975,2.65
HOHSAND SETT. (SABBIONE SETT.),1983,1.98
HOOKER,1978,16.54
HORACE WALKER,1978,5.99
HORCONES INFERIOR,1974,10.5
HORCONES INFERIOR,2005,6.17
HORN K.(SCHOB.),1969,0.46
HORN K.(ZILLER),1969,4.19
HORN K.(ZILLER),1975,3.03
HORN K.(ZILLER),1997,3.41
HORN K.(ZILLER),1999,3.41
HORNBREEN,1936,268.0
HOTLUM GLACIER,1975,0.96
HOURGLASS,1975,4.19
HPN 1,1974,291.0
HPN 2,1974,175.2
HPN 3,1974,175.2
HPN 4,1974,58.0
HPS12,1986,204.0
HPS13,1986,141.0
HPS15,1986,174.0
HPS19,1986,176.0
HPS28,1986,63.0
HPS29,1986,82.0
HPS31,1986,161.0
HPS34,1986,137.0
HPS38,1986,62.0
HPS41,1986,71.0
HPS8,1986,38.0
HPS9,1986,55.0
HRUTARJOEKULL,1995,12.0
HT.OELGRUBEN F.,1969,0.24
HT.OELGRUBEN F.,1975,0.36
HUANDOY-ARTESONRAJU GLACIERS,1962,11.38
HUANDOY-ARTESONRAJU GLACIERS,2003,10.11
HUARAPASCA,1980,0.87
HUBBARD,1986,3400.0
HUBERT,1979,1.1
HUEFI,1973,13.73
HUEFI,1975,13.73
HUEMULES,1979,90.79
HUEMULES,2011,69.84
HUMES,1979,1.85
HUMO,1950,15.0
HURD,1956,5.24
HURD,2010,4.03
HURD,2013,4.03
HURLEY GLACIER,2001,79.36
HVIDE TELT NORTH 2,2002,1.54
HYLLGLACIAEREN,1975,1.45
HYLLGLACIAEREN,1980,1.4
HYLLGLACIAEREN,2014,1.06
HYRNINGSJOEKULL,1945,1.0
HYRNINGSJOEKULL,1995,2.0
ICE RIVER,1979,0.41
ICE WORM,1988,0.2
ICE WORM,1999,0.1
ICEFIELD,1946,0.07
ICEFIELD,1958,0.1
ICEFIELD,1990,0.1
ICEFIELD,2001,0.07
IGAN,1975,0.81
IGAN,1981,0.68
IGLI TUYUKSU,1975,1.72
IGLI TUYUKSU,1980,1.72
ILLECILLEWAET,1975,6.37
ILLSTIGBREEN,2006,0.98
INDREN OCC.,1975,1.68
INEXPLORADO 1,1987,14.4
INEXPLORADO 1,2011,9.65
INEXPLORADO 2,1987,18.69
INEXPLORADO 2,2012,13.48
INEXPLORADO 3,1987,17.65
INEXPLORADO 3,2013,12.49
INFIERNO E,1990,0.1
INFIERNO E,2005,0.01
INFIERNO W,1990,0.14
INFIERNO W,2005,0.06
INFIERNO WW,1990,0.04
INFIERNO WW,2005,0.0
INN.PIRCHLKAR,1969,0.62
INOSTRANZEVA,2009,669.47
INVERGNAN,1975,0.86
IRENEBREEN,2005,4.15
IRENEBREEN,2009,4.08
IRENEBREEN,2010,4.05
IRIK,1983,10.1
IRIKCHAT,1983,1.73
ISABELLE,1975,0.12
ISFALLSGLAC.,1975,1.4
ISFALLSGLAC.,1980,1.4
ISFALLSGLAC.,1990,1.4
ISFALLSGLAC.,2014,1.22
IVORY,1975,0.93
IVORY,1978,0.93
JACK,1978,0.14
JACKA,1980,0.95
JACKSON,1978,0.66
JAETTEFJORDEN NORTHEAST,2002,6.41
JALF,1978,0.54
JAMTAL F.,1969,4.13
JAMTAL F.,1975,4.36
JAMTAL F.,1995,3.8
JANKHU UYU,1950,0.35
JEREMY SYKES,1975,9.92
JOEKULHALS,1945,2.0
JOEKULHALS,1975,11.0
JOEKULKROKUR,1991,55.0
JOHNSONS,1956,5.62
JOHNSONS,2010,5.35
JOHNSONS,2013,5.35
JOSEPH,1975,0.03
JOSEPH,1987,0.01
JOSEPH,1993,0.006
JOSEPH,2004,0.0
JUNCAL NORTE,1955,7.37
JUNCAL NORTE,2011,7.22
JUNCAL SUR,1955,25.6
JUNCAL SUR,1995,33.5
JUNCAL SUR,2011,21.98
KA.TAUERN K. S,1969,0.22
KA.TAUERN K. S,1975,0.22
KAELBERSPITZ K.,1969,0.82
KAHUTEA,1978,0.75
KALAGEYULE WUK.,1971,153.24
KALDALONSJOEKULL,1975,38.0
KALDALONSJOEKULL,1995,37.0
KALESNIK,1961,3.6
KALESNIKA,1975,14.7
KALTWASSER,1975,1.85
KANGIUSAQ,1950,8.77
KANGWURE,1974,2.98
KANGWURE,2008,1.96
KARA-BATKAK,1975,4.1
KARA-BATKAK,1982,4.56
KARA-BATKAK,1992,4.19
KARABULAK,1970,0.7
KARABULAK,1975,0.7
KARACHAUL,1986,5.14
KARAKOLTOR,1964,14.0
KARALE GLACIER,2002,179.21
KARALE NORTH EAST,2002,137.61
KARAMBAR,1988,65.0
KARBASNIKOV,2009,73.07
KARLES F.,1969,1.61
KARLES F.,1975,1.54
KARLINGER K.,1969,4.0
KARLINGER K.,1975,4.04
KARSOJIETNA,1975,1.58
KARSOJIETNA,1990,1.23
KARSOJIETNA,2000,1.1
KARSOJIETNA,2014,0.94
KARTAYGAN,1975,1.5
KASHKATASH,2006,3.41
KAUTZ,1980,1.2
KAVRAYSKIY,1975,2.6
KEA,1978,0.98
KEGIKER,1971,83.56
KEHLEN,1973,3.15
KEHLEN,1975,3.15
KELDYKE,1956,5.8
KESSELWAND FERNER,1969,4.24
KESSELWAND FERNER,1975,4.24
KESSELWAND FERNER,1995,4.29
KESSELWAND FERNER,2013,3.6
KESSJEN,1973,0.61
KESSJEN,1975,0.61
KESSJEN,1982,0.42
KESSJEN,1991,0.33
KESSJEN,1999,0.2
KESSJEN,2004,0.19
KHADYRSHA,1966,5.6
KHAKEL,1965,2.7
KHAKEL,1975,2.7
KIBISHA,1960,1.9
KILIKILAT GLACIER SOUTH,2002,16.35
KILIMANJARO,1880,20.0
KILIMANJARO,1912,12.05
KILIMANJARO,1953,6.67
KILIMANJARO,1976,4.17
KILIMANJARO,1989,3.3
KILIMANJARO,2000,2.6
KILIMANJARO,2003,2.51
KIRCHIN,1970,2.2
KIRCHIN,1975,2.2
KIRKJUJOEKULL,2010,30.0
KIRTISHO,1975,4.6
KIZILGORUM,1968,2.1
KIZILGORUM,1975,2.1
KLEINE LORANG,1958,0.63
KLEINEISER K.,1969,0.25
KLEINEISER K.,1975,0.25
KLEINELEND K.,1969,3.04
KLEINFLEISS K.,1969,1.23
KLEINFLEISS K.,1975,1.57
KLOCKERIN K.,1969,0.57
KLOCKERIN K.,1975,0.57
KLOSTERTALER M,1969,0.5
KLOSTERTALER M,1975,0.45
KLOSTERTALER N,1969,0.61
KLOSTERTALER N,1975,0.62
KLOSTERTALER S,1969,0.33
KLOSTERTALER S,1975,0.4
KLYUEV,1970,5.9
KLYUEV,1975,5.9
KNOPFJELD WEST 1,2002,1.8
KOELDUKVISLARJ.,1995,334.0
KOELDUKVISLARJ.,2008,310.0
KOERBERBREEN,1961,10.3
KOETLUJOEKULL,2010,133.0
KOKANEE,1959,3.1
KOKANEE,1975,3.1
KOKBELES,1968,3.2
KOKBELES,1975,3.2
KOLPAKOVSKIY,1957,30.4
KOLPAKOVSKY,1950,26.2
KOLTOR VOSTOCHNIY,1943,4.1
KONG SKJOLD HALVOE GLETSCHERLUKKET WEST,2002,30.63
KONGMA,1978,0.19
KONGMA TIKPE,1978,0.02
KORELDASH,1957,2.8
KORELDASH,1975,5.5
KORUMDU,1975,5.2
KORUMDU,1985,5.2
KORUMDU,1991,4.85
KORYTO,1975,8.8
KORYTO,1982,8.8
KORZHENEVSKIY,1975,37.5
KOTARJOEKULL,1891,14.5
KOTARJOEKULL,2011,11.5
KOZELSKIY,1975,1.1
KOZELSKIY,1988,1.8
KOZELSKIY,1995,1.79
KRAPF,1975,0.04
KRAPF,1987,0.02
KRAPF,1993,0.02
KRAPF,2004,0.01
KRASOVSKIY,1975,2.8
KRIMMLER K.,1969,5.33
KRIMMLER K.,1975,7.52
KRIMMLER K. EAST,1975,7.52
KROPOTKIN,1985,0.6
KRUML K.,1969,1.03
KULAK NIZHNIY,1965,4.1
KUOTOTJAKKAGL.,1975,2.57
KVALFANGARBREEN,1936,14.96
KVERKJOEKULL,1993,29.0
KVIARJOEKULL,1975,20.0
KVIARJOEKULL,1995,24.0
KVISLAJOEKULL,2010,66.0
KYIMOSHUNG,1992,4.23
KYUKYURTLYU,1983,6.59
KYZYLKUL,1956,0.9
LA ALSACIA,1987,0.35
LA CABANA,1959,1.8
LA CABANA,1987,1.15
LA CABANA,1992,0.87
LA CRISTALINA,1987,0.41
LA LISA,1959,1.0
LA LISA,1987,0.6
LA LISA,1992,0.21
LA MARE (VEDRETTA DE),1975,2.5
LA MARE (VEDRETTA DE),1980,4.75
LA PALOMA,1989,2.47
LA PALOMA,2007,2.17
LA PAUL,1990,0.12
LA PAUL,2005,0.01
LA PEROUSE,1978,9.5
LA PLAZUELA,1987,0.52
LA PLAZUELA,1992,0.32
LADD,1907,1.07
LADD,2004,0.67
LAEMMERN (WILDSTRUBEL),1973,3.35
LAEMMERN (WILDSTRUBEL),1975,3.35
LAENGENTALER F.,1969,0.75
LAENGENTALER F.,1975,0.89
LAGO BIANCO,1975,0.09
LAGO DEL DESIERTO I,1950,0.83
LAGO DEL DESIERTO II,1950,1.92
LAGO DEL DESIERTO III,1950,0.95
LAGOL,1975,0.34
LAGUNA AZUL,1987,0.63
LAGUNA GRANDE,1994,3.81
LAGUNA GRANDE SE,1994,0.08
LAGUNA GRANDE W,1994,3.3
LAGUNILLAS,1984,5.8
LAGUNILLAS,1985,4.4
LAGUNILLAS,1987,1.56
LAGUNILLAS,1992,1.08
LAIKA GL + ICE,1975,9.82
LAIKA GLACIER,1975,4.27
LAKE SAFUNA,1975,6.5
LALONG,1976,10.5
LALONG,1984,10.43
LALONG,2001,10.29
LALONG,2005,10.25
LALONG,2009,10.21
LAMBERT,1978,9.32
LANA (VEDR. DI) / AEUSSERES LAHNER KEES,1980,1.69
LANDECK K.,1969,0.41
LANG,1973,10.03
LANG,1975,10.03
LANGFJORDJOEKELEN,1966,4.8
LANGFJORDJOEKELEN,1994,3.65
LANGFJORDJOEKELEN,2008,3.21
LANGMOCHE,1978,1.3
LANGTALER F.,1969,3.52
LANGTALER F.,1975,3.52
LAOHUGOU,1984,21.91
LAPATE NO.48,1981,6.07
LAPATE NO.51,1964,1.48
LAPATE NO.51,1981,1.48
LAPATE NO.51,1999,1.48
LAPATE NO.53,1981,1.8
LAPEROUSE,1964,76.0
LAPERWITZ K.,1969,2.05
LARAIN F.,1969,1.68
LARAIN F.,1975,1.64
LARES,1975,2.0
LARES,1981,6.24
LAS ARGUALAS,1990,0.3
LAS FRONDELLAS,1990,0.07
LAS FRONDELLAS,2005,0.01
LATSCH F.,1997,1.66
LAUSON,1975,0.46
LAVACCIU,1975,1.83
LAVASSEY,1975,1.5
LAVAZ,1973,1.76
LAVAZ,1975,1.76
LAWRENCE,1978,1.49
LAZG-TSITI,1975,1.8
LE BLANC,1978,1.66
LECONTE,1964,465.0
LECONTE,2000,293.76
LEEB-LORNTY,1978,3.46
LEFFINGWELL,1950,4.96
LEIRBREEN,1966,4.87
LEIRUFJARDARJOEKULL,1995,27.0
LENGUA,1998,3.62
LENTA,1973,1.4
LENTA,1975,1.4
LEONE (PENNINE),1975,0.16
LEONERA ALTA,1987,2.09
LEONERA ALTA,1992,1.32
LEONES,1974,62.0
LESCHAUX,1975,0.11
LEVIY AKTRU,1983,6.5
LEVIY AKTRU,1991,5.95
LEVIY KARAGEMSKIY,1991,4.04
LEWIS,1947,0.39
LEWIS,1975,0.31
LEWIS,1978,0.31
LEWIS,1987,0.24
LEWIS,1993,0.2
LEWIS,2004,0.13
LEWIS,2010,0.1
LEX BLANCHE,1975,4.09
LIESENSER F.,1969,3.57
LIESENSER F.,1975,4.17
LIMMERN,1973,2.39
LIMMERN,1975,2.39
LIMMERN,1977,2.41
LINDSAY,1978,0.02
LIOTARD,1947,33.5
LIOTARD,1963,28.55
LIOTARD,1973,31.85
LIOTARD,1985,25.25
LIOTARD,1989,24.65
LISCHANA,1973,0.21
LISCHANA,1975,0.21
LITEROLA,1990,0.08
LITUYA,1964,75.0
LITZNERGL.,1969,0.7
LITZNERGL.,1975,0.71
LLAIMA,1969,29.74
LLAIMA,2010,8.35
LLARDANA,1990,0.22
LLARDANA,2005,0.1
LLAWRENNY,1978,0.12
LLOSAS,1990,0.05
LLOSAS,2005,0.0
LO ZEBRU (VEDRETTA DE),1975,1.94
LOBBIA,1975,6.1
LOBBIA,1981,5.4
LODMUNDARJOEKULL,2010,1.9
LONQUIMAY,1961,2.75
LONQUIMAY,2011,0.74
LORANG,1958,3.8
LOS AMARILLOS,2005,1.11
LOS AMARILLOS,2009,1.07
LOS AMARILLOS,2013,0.9
LOS GEMELOS,1990,0.04
LOS GEMELOS,2005,0.08
LOS RITACUBAS,1994,7.34
LOS RITACUBAS NE,1994,0.2
LOS RITACUBAS W,1994,6.73
LOWELL,1951,530.0
LOWER CURTIS,1988,0.8
LOWER CURTIS,2000,0.8
LUNGA (VEDRETTA) / LANGENF.,1975,3.06
LUNGA (VEDRETTA) / LANGENF.,1980,2.62
LUNGA (VEDRETTA) / LANGENF.,2005,1.86
LUNGA (VEDRETTA) / LANGENF.,2008,1.77
LUNGA (VEDRETTA) / LANGENF.,2009,1.77
LUNGA (VEDRETTA) / LANGENF.,2011,1.66
LUNGA (VEDRETTA) / LANGENF.,2013,1.61
LUPO,1975,0.2
LUPO,2012,0.2
LYELL,1978,10.79
LYELL EAST,2004,0.14
LYELL WEST,2004,0.28
LYNCH,1988,0.8
LYNCH,1999,0.7
LYNGMARKSBRAE,1950,1.7
LYS,1975,11.83
LYSALFBJERG WEST,2002,20.95
M. OKTYABRSKIY,1946,32.0
MAC KEITH N,1957,31.7
MACA (LENGUA ESTE),1979,45.08
MACA (LENGUA ESTE),2011,27.62
MACAULAY,1978,0.86
MACLAREN,1964,68.0
MADACCIO (VEDR. DEL) / MADATSCHF.,1975,3.2
MAGNES FJORD GLETSCHER,2002,50.92
MAKA,2009,55.26
MALADETA,1990,0.75
MALADETA,1994,0.41
MALADETA,1995,0.5
MALADETA,2001,0.37
MALADETA,2002,0.36
MALADETA,2003,0.35
MALADETA,2004,0.34
MALADETA,2005,0.32
MALADETA,2006,0.31
MALADETA,2007,0.27
MALADETA,2008,0.29
MALADETA,2009,0.27
MALADETA,2010,0.28
MALADETA,2012,0.25
MALAVALLE (VEDR. DI) / UEBELTALF.,1982,9.42
MALAVALLE (VEDR. DI) / UEBELTALF.,2001,7.19
MALAVALLE (VEDR. DI) / UEBELTALF.,2008,6.16
MALAVALLE (VEDR. DI) / UEBELTALF.,2013,6.02
MALEDIA,1975,0.2
MALIY AKTRU,1975,3.8
MALIY AKTRU,1985,3.8
MALIY AKTRU,1991,2.73
MALIY AZAU,1987,8.47
MALYY BERELSKIY,1975,6.8
MALYY BERELSKIY,1980,8.9
MANDRONE,1975,11.93
MANDRONE,1980,12.38
MANSHUK MAMETOVA,1975,0.35
MANSHUK MAMETOVA,1980,0.35
MANSO,1975,19.06
MARBORECILINDRO,1990,0.25
MARBORECILINDRO,2005,0.07
MARCHANT,1978,1.19
MARINELLI,1931,190.48
MARINELLI,2011,116.0
MARION,1978,7.03
MARMADUKE DIXON,1978,0.77
MARMAGLACIAEREN,2000,3.9
MARMAGLACIAEREN,2014,3.36
MARMOLADA CENTR.,1975,3.05
MARMOLADA CENTR.,1982,2.6
MARMOLEJO GLACIER GROUP,1986,24.94
MARMOLEJO GLACIER GROUP,2010,14.65
